Região/Unidade da Federação;Menor de 10 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;Idade ignorada;Total
Região Norte;0;4781;71261;89670;67361;46064;21669;5278;386;31;3;4;1;21;306530
.. Rondônia;0;257;5089;7722;6687;4511;2010;412;15;2;0;1;0;0;26706
.. Acre;0;320;3994;4402;3288;2570;1369;361;21;4;0;0;0;4;16333
.. Amazonas;0;1288;17995;21665;15908;11757;5908;1537;132;9;1;1;1;6;76208
.. Roraima;0;234;2573;3086;2440;1824;947;232;19;2;0;0;0;5;11362
.. Pará;0;2139;32727;41619;29833;18886;8331;1992;155;12;2;1;0;4;135701
.. Amapá;0;242;4015;4662;3614;2582;1361;348;24;0;0;0;0;2;16850
.. Tocantins;0;301;4868;6514;5591;3934;1743;396;20;2;0;1;0;0;23370
Região Nordeste;3;9218;158762;212523;184879;142071;70744;17360;1106;68;18;8;0;6;796766
.. Maranhão;1;1614;26163;32093;24822;15749;6478;1486;109;16;5;1;0;0;108537
.. Piauí;0;600;10069;13068;11971;8888;4108;927;53;6;1;2;0;0;49693
.. Ceará;2;1335;22720;33497;30189;23421;12002;3015;181;11;0;2;0;2;126377
.. Rio Grande do Norte;0;484;8337;11784;10967;8730;4457;1079;69;2;0;0;0;0;45909
.. Paraíba;0;579;10058;14546;13348;10552;5236;1319;81;4;1;0;0;0;55724
.. Pernambuco;0;1329;25997;35679;30968;23111;11532;2979;165;8;4;1;0;0;131773
.. Alagoas;0;725;11427;13464;10008;7419;3449;840;45;3;0;0;0;0;47380
.. Sergipe;0;390;6593;8563;7360;6021;3297;872;60;1;1;1;0;0;33159
.. Bahia;0;2162;37398;49829;45246;38180;20185;4843;343;17;6;1;0;4;198214
Região Sudeste;1;6065;155295;265394;273787;248764;143388;33329;1933;95;18;7;0;20;1128096
.. Minas Gerais;0;1397;35576;60021;62317;55029;31099;7089;397;26;9;1;0;0;252961
.. Espírito Santo;0;415;8140;12585;13089;11375;5970;1340;75;2;0;0;0;0;52991
.. Rio de Janeiro;0;1558;34837;55232;50360;44400;26171;6209;378;19;3;3;0;4;219174
.. São Paulo;1;2695;76742;137556;148021;137960;80148;18691;1083;48;6;3;0;16;602970
Região Sul;0;2156;54027;92161;96604;86739;47998;11223;602;31;0;4;0;3;391548
.. Paraná;0;939;22924;37841;38595;32701;17391;4023;204;13;0;3;0;2;154636
.. Santa Catarina;0;453;12132;22211;24591;21859;11444;2646;125;4;0;1;0;0;95466
.. Rio Grande do Sul;0;764;18971;32109;33418;32179;19163;4554;273;14;0;0;0;1;141446
Região Centro0Oeste;0;1915;37901;61553;57845;46453;23607;5247;294;33;8;3;0;1;234860
.. Mato Grosso do Sul;0;463;7582;11500;10013;7768;3777;844;50;9;3;0;0;0;42009
.. Mato Grosso;0;539;9490;14978;13325;9613;4436;916;41;7;1;0;0;0;53346
.. Goiás;0;618;13296;22264;21522;16332;7891;1586;85;7;2;1;0;1;83605
.. Distrito Federal;0;295;7533;12811;12985;12740;7503;1901;118;10;2;2;0;0;55900
Total;4;24135;477246;721301;680476;570091;307406;72437;4321;258;47;26;1;51;2857800
